category_name_display,no_of_reviews,avg_review_score,percentage_negative_reviews
security_and_services,2,2.5,50.0
portateis_cozinha_e_preparadores_de_alimentos,15,3.27,33.33
pc_gamer,9,3.33,33.33
fashion_male_clothing,131,3.64,28.24
office_furniture,1687,3.49,26.08
home_comfort_2,27,3.63,25.93
diapers_and_hygiene,39,3.26,25.64
fixed_telephony,262,3.68,25.57
party_supplies,43,3.77,23.26
la_cuisine,13,4.0,23.08
audio,361,3.83,21.88
furniture_mattress_and_upholstery,38,3.82,21.05
home_confort,435,3.83,20.23
construction_tools_safety,193,3.84,20.21
furniture_decor,8331,3.9,19.46
bed_bath_table,11137,3.9,18.96
computers_accessories,7849,3.93,18.61
art,207,3.94,18.36
furniture_living_room,502,3.9,18.13
fashio_female_clothing,50,3.78,18.0
home_construction,600,3.94,17.83
air_conditioning,292,3.97,17.81
fashion_underwear_beach,130,3.98,17.69
costruction_tools_garden,240,4.05,17.5
dvds_blu_ray,63,4.08,17.46
telephony,4517,3.95,16.85
baby,3048,4.01,16.7
furniture_bedroom,110,4.12,16.36
watches_gifts,5950,4.02,16.25
garden_tools,4329,4.04,16.08
agro_industry_and_commerce,212,4.0,16.04
electronics,2749,4.04,15.75
kitchen_dining_laundry_garden_furniture,280,3.96,15.71
housewares,6943,4.06,15.64
consoles_games,1127,4.02,15.35
auto,4213,4.07,15.26
construction_tools_construction,926,4.05,15.12
cine_photo,73,4.21,15.07
drinks,377,4.05,14.59
sports_leisure,8640,4.11,14.58
perfumery,3421,4.16,14.56
construction_tools_lights,296,4.05,14.53
christmas_supplies,146,4.02,14.38
small_appliances,677,4.15,14.33
market_place,309,4.02,14.24
musical_instruments,675,4.15,14.07
health_beauty,9645,4.14,13.7
tablets_printing_image,81,4.12,13.58
industry_commerce_and_business,266,4.1,13.53
toys,4091,4.16,13.49
cool_stuff,3772,4.15,13.12
stationery,2507,4.19,13.08
computers,200,4.17,13.0
pet_shop,1939,4.19,12.94
food,495,4.22,12.93
fashion_bags_accessories,2039,4.14,12.7
home_appliances_2,238,4.14,12.61
arts_and_craftmanship,24,4.13,12.5
fashion_childrens_clothes,8,4.5,12.5
fashion_shoes,261,4.23,12.26
home_appliances,806,4.17,12.03
signaling_and_security,197,4.09,11.68
books_imported,60,4.4,11.67
books_technical,266,4.37,10.9
music,38,4.21,10.53
small_appliances_home_oven_and_coffee,76,4.3,10.53
fashion_sport,31,4.26,9.68
luggage_accessories,1088,4.32,9.65
books_general_interest,549,4.45,8.56
costruction_tools_tools,99,4.44,8.08
food_drink,279,4.32,7.89
flowers,31,4.42,6.45
cds_dvds_musicals,14,4.64,0.0
