seller_state,seller_zip_code_prefix,geolocation_lat,geolocation_lng,total_reviews,avg_review_score,percentage_negative_reviews
MG,31050,-19.898569593157404,-43.895245036379841,822,1.33,83.33
SP,3667,-23.531306949151652,-46.494794558100494,345,1.4,93.33
SP,1244,-23.562049127976639,-46.659590314033544,594,1.67,83.33
SP,5041,-23.523859941092379,-46.695805542639654,300,1.67,83.33
SP,8020,-23.50473849635927,-46.4415119870684,378,1.67,83.33
SP,3390,-23.592386803425217,-46.5258195277054,522,1.72,77.78
SP,3937,-23.586002562149023,-46.4996376283361,637,1.92,76.92
RS,98910,-27.776575904388324,-54.235518408436818,1890,1.93,71.43
SP,4088,-23.605905918512409,-46.661276579305849,819,2,77.78
SP,8080,-23.487422115473279,-46.4300278559273,652,2,75
SP,8500,-23.544814881452591,-46.365856492687755,292,2,75
SP,19300,-22.008508143870543,-51.556343601534415,602,2,71.43
SP,3581,-23.555809968332554,-46.499637906526736,203,2.14,42.86
SP,4101,-23.585606749985569,-46.633794747480572,504,2.14,71.43
SP,6506,-23.418613866785357,-46.958876335414175,816,2.2,65.44
SP,6380,-23.541912078130053,-46.837210053474351,1026,2.22,44.44
PR,86026,-23.311278572671078,-51.157084110653223,284,2.25,75
SP,4578,-23.607634203985253,-46.697251575548705,595,2.29,57.14
PR,81810,-25.5070141831112,-49.2759629794623,2538,2.33,55.56
PE,52010,-8.0588671413990713,-34.900210574694889,330,2.36,63.64
SP,13202,-23.204103869609316,-46.872590096658492,640,2.4,60
DF,72251,-15.788929833208348,-48.124814674591,708,2.42,58.33
MG,36504,-21.113687113557148,-42.9373312699572,203,2.43,71.43
SP,4516,-23.604744084029711,-46.669288711338581,1053,2.56,55.56
SP,6455,-23.50112394188579,-46.849701628693076,1476,2.56,55.56
SP,3813,-23.488234128266232,-46.469989005432,5658,2.57,58.7
MG,38402,-18.873998221431012,-48.274139812786309,805,2.6,60
SP,3191,-23.568801464537241,-46.571739409275487,720,2.6,53.33
SP,4111,-23.58639253610523,-46.632292260896016,375,2.6,60
SP,5571,-23.59455594240238,-46.787488711271827,205,2.6,60
SP,12914,-22.964802783097717,-46.53441931528527,1144,2.63,62.5
SP,4362,-23.645347857953929,-46.668963118638466,5016,2.66,52.63
MG,35660,-19.85354112121189,-44.608822260711328,2304,2.67,55.56
SP,18085,-23.472414567045831,-47.433669226304247,1314,2.67,55.56
RN,59077,-5.8402480652230375,-35.207930750346257,32,2.69,37.5
SP,2873,-23.457069438287938,-46.682406223176471,357,2.71,57.14
SP,6663,-23.557647455396513,-46.939782586668528,1484,2.71,57.14
SP,13101,-22.914020006042708,-47.013535408232528,19019,2.71,50.24
MG,30775,-19.896490671704079,-43.96875730467174,968,2.73,54.55
SP,18131,-23.53171637882901,-47.148670759327544,440,2.73,54.55
PR,84430,-25.22967701050208,-50.60389689507096,664,2.75,75
SP,3445,-23.548768170341049,-46.528726088626271,544,2.82,52.94
DF,73020,-15.657448058889157,-47.809510385882696,221,2.88,41.18
RJ,22793,-23.000618991095674,-43.404718284567259,21105,2.89,51.11
RS,98975,-27.986799762328438,-54.840999985429846,819,2.9,38.1
SP,15115,-20.917115337770696,-49.450818839541363,1806,2.9,47.62
SP,7179,-23.404045959771732,-46.418774323737594,1144,2.91,54.55
SP,12331,-23.271937941862578,-46.06549877693503,66,2.91,54.55
SP,3017,-23.536603102561834,-46.610939566633434,3604,2.95,43.4
MG,30494,-19.960059611364837,-43.961648486334163,7830,3,40.74
PR,87160,-23.344955912199225,-52.099048257656349,1938,3,47.37
RS,91150,-30.003260177408123,-51.118735144263617,1035,3,44.44
SP,2611,-23.467790322895219,-46.648206260815357,1192,3,37.5
SP,4293,-23.621390480559313,-46.615973950732915,250,3,60
SP,12233,-23.246680687314193,-45.88690913568319,26600,3.02,44.36
SP,1512,-23.553717206079817,-46.629499097304105,6972,3.04,45.24
MG,30620,-19.983319169326879,-44.001373863282218,4540,3.05,35
PR,81560,-25.486783628777115,-49.217558003508472,1696,3.06,43.75
RJ,27321,-22.524398274567218,-44.184183789507983,1581,3.06,41.18
MG,37584,-21.865404185877193,-45.650823499750345,3924,3.07,40.37
SP,8583,-23.4451043722629,-46.374469659969165,5548,3.08,36.84
SP,13105,-22.888413155714876,-46.984421981576823,828,3.08,41.67
SP,19820,-22.748946620633905,-50.578951684465736,1144,3.08,38.46
GO,75901,-17.804500726925006,-50.916494660436,2628,3.11,44.44
SP,9291,-23.645100566456694,-46.519200513273972,5985,3.11,36.51
MG,35170,-19.506713154390678,-42.628614039650081,14322,3.12,38.1
SP,5455,-23.541383039361257,-46.711854471589234,1404,3.13,40.38
SP,13056,-22.975100456164611,-47.142925230302289,2512,3.13,31.25
PR,85851,-25.541844711589412,-54.58482020405328,14651,3.14,40.66
SP,4615,-23.62310189768392,-46.667495364375988,399,3.14,42.86
SP,3304,-23.545147862770502,-46.578130321226951,260,3.15,38.46
RJ,21921,-22.808304429133386,-43.185648566977186,4248,3.17,44.44
RJ,24813,-22.754117583287929,-42.888835530246112,527,3.18,29.41
SP,4674,-23.663855154832149,-46.685792178080291,1837,3.18,45.45
SP,3410,-23.550461849189325,-46.5514365695518,295,3.2,60
GO,76500,-14.43073368841814,-49.7106029180799,180,3.22,44.44
SP,3059,-23.540171867461595,-46.591687772658545,1936,3.23,27.27
SP,6144,-23.566932612528714,-46.800935610121741,2079,3.24,39.39
SP,16022,-21.232308702656155,-50.463923190469671,493,3.24,35.29
RS,90220,-30.02113692774557,-51.209674184414439,2096,3.25,31.25
SP,4761,-23.662843397851397,-46.718027386610125,360,3.25,41.67
SP,13272,-22.951601887531687,-47.001995558911766,1782,3.27,36.36
SP,9163,-23.762945850483192,-46.473361103844681,150,3.28,36
SP,1129,-23.524051385464386,-46.645073040129979,920,3.3,34.78
SP,8030,-23.503205760149903,-46.422284208336272,10200,3.3,34
SC,88050,-27.51837638111175,-48.5162770076532,1053,3.31,30.77
SP,8615,-23.547817339445285,-46.295623734950205,2860,3.31,30.77
MG,32310,-19.938768933234908,-44.03834169825096,3971,3.32,42.11
SP,3417,-23.539899237124576,-46.54740652791638,1615,3.32,37.65
SP,7174,-23.424944108387592,-46.422657417397957,5002,3.32,31.71
SP,19023,-22.110680580939569,-51.399092120481292,3080,3.32,32.14
SP,4763,-23.669585083295051,-46.718573292341965,924,3.33,41.67
PR,87030,-23.413770021773331,-51.927069895500168,46650,3.36,32.15
SP,8577,-23.4861114546622,-46.366720765317062,202662,3.36,29.15
MG,36050,-21.734493417365485,-43.348831240772512,6042,3.37,34.21
SP,5468,-23.539050227122878,-46.715773064756036,2641,3.37,36.84
SP,13730,-21.466660105003793,-47.0053072961284,2850,3.37,39.47
RJ,21635,-22.832902971525165,-43.412302781197937,1144,3.38,30.77
RJ,24020,-22.8937011455631,-43.120417849276684,6096,3.38,31.25
SP,6180,-23.536524750087452,-46.803410574577647,712,3.38,37.5
SP,8223,-23.526859220417407,-46.471072057762875,1781,3.38,38.46
SP,18608,-22.866052773277371,-48.460692033276274,15089,3.38,34.18
SP,13660,-21.866032425983494,-47.478101758121277,78200,3.4,34.78
SP,14092,-21.177709840485353,-47.767820075451674,47523,3.4,32.09
PR,81200,-25.437196092611345,-49.332558792175924,1519,3.43,42.86
SC,89136,-26.889322403539186,-49.350562973333929,994,3.43,42.86
SC,89220,-26.270742296656483,-48.881817687818057,1260,3.43,35.71
SP,15840,-21.314997747152894,-49.055417305075984,2898,3.43,30.43
SP,17210,-22.285564358190715,-48.535057809242154,5334,3.43,30.95
SP,13145,-22.735332235607455,-47.176654065671066,4140,3.45,30
SP,13211,-23.189420416902376,-46.921573347175126,2123,3.45,27.27
SP,1319,-23.551881657731425,-46.640727972716249,14760,3.46,31.1
SP,7194,-23.442890814200958,-46.506739029261269,4823,3.46,31.87
MG,35530,-20.437204870235004,-44.762034059759443,23380,3.47,27.14
SP,3273,-23.577346895605476,-46.55995457781836,2772,3.47,24.24
PR,84530,-25.371975656252413,-50.46208383582232,1694,3.49,25.97
PR,86600,-23.312476639241165,-51.365003473416024,16198,3.49,30.22
SC,88359,-27.147792234066205,-48.957917977996665,11690,3.49,30.24
SP,8180,-23.492699699120692,-46.421026127498884,14355,3.49,34.48
MG,35670,-19.991238421800055,-44.4287294717797,3146,3.5,34.62
SP,1044,-23.545598238423416,-46.64145267015315,180,3.5,30
SP,3916,-23.588437863894512,-46.511440735471894,684,3.5,31.58
SP,6154,-23.560055882960995,-46.804468359531704,924,3.5,35.71
SP,36010,-21.764571387448182,-43.345973242398145,2896,3.5,37.5
SP,8260,-23.565855116526446,-46.434938444463164,8208,3.52,27.08
SP,13150,-22.641854186411003,-47.189385100712379,5015,3.53,29.41
SP,9572,-23.642441270973308,-46.560831266785357,2561,3.54,23.08
SP,7242,-23.438736681339236,-46.422618677390567,1309,3.55,36.36
SP,9405,-23.700765771223807,-46.4043333118322,3550,3.55,30.99
RJ,22640,-23.00126761701063,-43.335598837067188,5776,3.56,31.25
SP,17052,-22.340760688078756,-49.095069696465323,1008,3.56,37.5
RS,95360,-28.596703774432143,-51.7869460853158,1054,3.58,29.03
SP,13160,-22.571207861628345,-47.165768768733088,8160,3.58,29.17
SP,1026,-23.539657127270956,-46.631884212705785,11700,3.59,27.67
SP,12942,-23.122809182908796,-46.5600500939845,6642,3.59,29.27
SP,9271,-23.641860793712091,-46.500728072382415,15785,3.6,21.82
MG,36325,-21.109807916044407,-44.174779059637089,1219,3.61,26.09
PR,85804,-24.986482985801878,-53.493197106470362,954,3.61,27.78
SP,9270,-23.640563722528217,-46.494431842210382,14388,3.61,29.36
RJ,28630,-22.251294327685233,-42.540627381377178,2592,3.62,29.17
SP,17250,-22.074022270567585,-48.740256216555629,6580,3.63,22.86
SP,18401,-23.974148024905684,-48.871046643295088,536,3.63,37.5
MG,30190,-19.924640007158533,-43.94612171790461,66722,3.64,25.34
RJ,25750,-22.338529289758178,-43.128998839499971,1848,3.64,27.27
SP,1040,-23.541028179008823,-46.638324694969413,350,3.64,28
PR,85875,-25.4428621177467,-54.4027647277641,3367,3.65,21.62
SP,8140,-23.511203891310121,-46.399333426237881,3040,3.65,30
SP,9175,-23.68635904462997,-46.517078027603759,2714,3.65,21.74
SP,13830,-22.605618431997772,-46.9204472381335,3240,3.65,30
SP,88075,-27.585486027486752,-48.57989012662317,2431,3.65,29.41
MG,37590,-22.288146664323694,-46.611900913187732,12960,3.66,26.04
PR,86702,-23.390606579747445,-51.446644469055741,738,3.67,27.78
RJ,20756,-22.889303208418365,-43.304540372254628,13761,3.67,26.26
SP,3018,-23.53230248941005,-46.611344315772754,1444,3.68,23.68
SP,3804,-23.499143398150068,-46.483298548798615,11573,3.68,28.22
SP,4119,-23.596803948794253,-46.634621803173566,6201,3.68,26.42
SP,2034,-23.504072876495663,-46.624144216255807,1638,3.69,20.51
SP,3279,-23.584873378842609,-46.541400424516354,468,3.69,30.77
SP,14090,-21.179893192109972,-47.788429123068624,22932,3.69,25.27
SP,14910,-21.737063142421789,-48.687600901117023,2652,3.69,23.08
SP,13347,-23.13411287780508,-47.22797514137568,8448,3.7,24.24
GO,72801,-16.26249927186602,-47.956459959807795,459,3.71,17.65
MG,35680,-20.077863070164636,-44.576133772160553,120560,3.71,22.63
SC,88715,-28.633920987357754,-49.024157474362937,4760,3.71,23.53
SP,1230,-23.536310405918019,-46.657112008634122,4830,3.71,23.81
SP,1547,-23.5829939617234,-46.621126761640333,1711,3.71,23.73
SP,5043,-23.525700606115233,-46.691691746509825,731,3.71,23.53
SP,2537,-23.491312375387341,-46.652459748099453,2280,3.72,17.5
SP,3423,-23.551038737265085,-46.5414857419749,330,3.73,27.27
SP,3520,-23.547067431340068,-46.521644390616956,832,3.73,26.92
SP,4281,-23.606213117621074,-46.609171704587588,550,3.73,27.27
SP,4361,-23.643527018246893,-46.662809362722335,6811,3.73,21.58
SP,11600,-23.771731754447991,-45.525295929464377,8208,3.73,22.92
SP,13257,-22.98825737588945,-46.853962695060865,9072,3.73,24.38
SP,13403,-22.72382652621296,-47.672897830228379,10212,3.73,23.91
SP,13566,-21.999484484661423,-47.887503669191894,6996,3.73,29.55
SP,14010,-21.179539568540228,-47.808597648254917,1617,3.73,27.27
SP,14781,-20.538930163096829,-48.558910730567845,6660,3.73,17.78
SP,17504,-22.213865032134283,-49.958519724399039,4898,3.73,24.05
SP,17509,-22.212335154405466,-49.945661185214938,1001,3.73,27.27
PR,80060,-25.429632416666806,-49.261316873381041,5339,3.74,15.79
PR,83280,-25.887866961664873,-48.584486146930033,4899,3.74,17.39
PR,87230,-23.622748095003278,-52.4701183751283,2790,3.74,23.66
SP,4696,-23.669413859519111,-46.702462512625246,1919,3.74,31.58
RJ,22775,-22.96914820115267,-43.383065237968147,68310,3.75,25.93
SP,3461,-23.569882479319656,-46.525535956916961,1032,3.75,29.17
SP,5170,-23.483583375571715,-46.748070542970162,736,3.75,31.25
DF,71070,-15.832786657811649,-47.946367393746826,12160,3.76,20.39
PR,83402,-25.347457401819998,-49.221942204932326,935,3.76,29.41
RJ,21041,-22.871441098801014,-43.258727578503773,5535,3.76,24.44
SP,1201,-23.536082809674177,-46.649539390469307,1386,3.76,23.81
